使用者,總分,Quiz1Q1分數,Quiz1Q2分數,Quiz1Q3分數,Quiz1Q4分數,Quiz1Q5分數,Quiz1Q6分數,最晚作答時間
S01,80.0,20.0,20.0,20.0,0.0,20.0,0.0,1 days 02:56:11.822210
S02,40.0,0.0,20.0,0.0,20.0,0.0,0.0,1 days 02:46:05.469824
S03,100.0,20.0,20.0,20.0,20.0,20.0,0.0,1 days 02:55:23.392163
S04,40.0,20.0,0.0,20.0,0.0,0.0,0.0,1 days 02:43:08.014597
S05,28.0,20.0,0.0,0.0,0.0,8.0,0.0,1 days 00:47:38.383351
S06,60.0,20.0,0.0,20.0,0.0,20.0,0.0,1 days 02:31:03.535949
S07,80.0,20.0,20.0,0.0,20.0,0.0,20.0,1 days 02:23:52.086886
S08,120.0,20.0,20.0,20.0,20.0,20.0,20.0,1 days 02:41:55.575986
S09,60.0,20.0,20.0,0.0,20.0,0.0,0.0,1 days 02:25:52.475692
S10,60.0,20.0,0.0,20.0,0.0,20.0,0.0,1 days 02:27:18.943131
S11,60.0,20.0,0.0,20.0,0.0,20.0,0.0,1 days 02:24:52.451042
S13,60.0,20.0,0.0,20.0,0.0,20.0,0.0,1 days 01:36:54.549524
S14,56.0,20.0,0.0,0.0,0.0,16.0,20.0,1 days 02:51:26.348314
S15,120.0,20.0,20.0,20.0,20.0,20.0,20.0,1 days 02:33:02.394009
S16,60.0,20.0,0.0,20.0,0.0,20.0,0.0,1 days 01:28:20.482251
S17,96.0,20.0,16.0,20.0,20.0,20.0,0.0,1 days 02:05:30.775094
S18,20.0,20.0,0.0,0.0,0.0,0.0,0.0,1 days 00:38:05.311615
S19,100.0,20.0,20.0,20.0,0.0,20.0,20.0,1 days 02:04:42.001401
S20,80.0,20.0,20.0,20.0,0.0,20.0,0.0,1 days 02:35:39.206048
S22,28.0,20.0,0.0,0.0,0.0,8.0,0.0,1 days 01:23:18.818283
S23,76.0,20.0,16.0,0.0,0.0,20.0,20.0,1 days 01:47:23.729000
S25,100.0,20.0,20.0,20.0,20.0,20.0,0.0,1 days 02:11:16.427953
S26,120.0,20.0,20.0,20.0,20.0,20.0,20.0,1 days 02:54:30.745814
S27,120.0,20.0,20.0,20.0,20.0,20.0,20.0,1 days 02:28:19.830150
S28,120.0,20.0,20.0,20.0,20.0,20.0,20.0,1 days 02:03:06.596280
S29,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00
S30,20.0,0.0,0.0,20.0,0.0,0.0,0.0,1 days 01:57:04.884914
S32,72.0,20.0,0.0,20.0,0.0,20.0,12.0,1 days 02:54:09.855273
S33,80.0,20.0,0.0,20.0,0.0,20.0,20.0,1 days 02:27:49.227963
S35,120.0,20.0,20.0,20.0,20.0,20.0,20.0,1 days 02:11:50.781250
S36,100.0,20.0,0.0,20.0,20.0,20.0,20.0,1 days 02:41:48.190891
S37,80.0,20.0,0.0,0.0,20.0,20.0,20.0,1 days 02:43:15.030527
S38,120.0,20.0,20.0,20.0,20.0,20.0,20.0,1 days 02:35:17.746826
S39,96.0,20.0,16.0,20.0,20.0,20.0,0.0,1 days 02:23:41.043659
S40,120.0,20.0,20.0,20.0,20.0,20.0,20.0,1 days 02:21:24.712234
S41,80.0,20.0,20.0,20.0,20.0,0.0,0.0,1 days 02:35:57.711577
S42,120.0,20.0,20.0,20.0,20.0,20.0,20.0,1 days 02:25:15.112145
S43,80.0,20.0,0.0,20.0,20.0,20.0,0.0,1 days 02:21:01.323780
S44,80.0,20.0,20.0,20.0,0.0,20.0,0.0,1 days 02:15:41.874344
